index,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,region,prediction
142,8,1,1,3,1,na1,1
143,1,0,0,0,0,na1,5
144,0,0,0,0,0,na1,5
145,4,0,0,2,1,na1,2
146,5,0,0,1,0,na1,4
147,9,1,2,3,1,na1,1
148,0,0,0,0,0,na1,5
149,1,0,0,2,0,na1,5
150,9,1,0,1,2,na1,3
151,1,0,0,0,0,na1,5
152,0,0,0,0,0,na1,5
153,4,0,0,1,1,na1,0
154,11,3,1,4,1,na1,1
155,2,0,1,1,0,na1,0
156,6,1,1,1,0,na1,4
157,9,1,1,3,2,na1,1
158,9,1,0,2,1,na1,3
159,3,0,1,3,0,na1,2
160,3,1,0,0,1,na1,0
161,0,0,0,0,0,na1,5
162,5,0,1,4,1,na1,4
163,0,0,0,0,0,na1,5
164,4,0,1,2,1,na1,2
165,0,0,0,1,0,na1,5
166,0,0,0,0,0,na1,5
167,7,1,0,3,2,na1,4
168,0,0,0,0,0,na1,5
169,0,0,0,0,0,na1,5
170,10,3,1,3,2,na1,3
171,5,0,1,4,0,na1,4
172,0,0,0,0,0,na1,5
173,7,0,0,2,2,na1,4
174,10,1,0,5,1,na1,1
175,5,0,1,0,0,na1,0
176,7,0,1,2,1,na1,4
177,1,0,0,1,1,na1,5
178,4,0,0,3,1,na1,2
179,10,2,2,3,1,na1,1
180,3,2,0,0,2,na1,0
181,2,0,0,0,0,na1,0
182,4,1,0,1,1,na1,0
183,9,3,1,3,1,na1,1
184,2,0,0,2,1,na1,2
185,1,0,0,0,0,na1,5
186,7,1,0,2,0,na1,4
187,6,0,1,2,2,na1,4
188,0,0,0,0,0,na1,5
189,3,1,0,0,0,na1,0
190,6,0,0,0,0,na1,4
191,9,1,1,4,2,na1,1
192,3,0,0,2,1,na1,2
193,7,1,1,2,0,na1,4
194,3,1,0,0,0,na1,0
195,0,0,0,0,1,na1,5
196,7,2,0,1,0,na1,4
197,0,0,0,2,0,na1,5
198,0,0,0,1,0,na1,5
199,2,0,0,0,0,na1,0
200,0,0,0,0,0,na1,5
201,1,0,0,2,0,na1,5
202,9,1,1,1,1,na1,3
203,4,0,0,3,0,na1,2
204,2,0,0,0,2,na1,0
205,9,2,1,3,0,na1,1
206,10,3,1,3,2,na1,3
207,5,0,1,4,0,na1,4
208,2,0,0,0,1,na1,0
209,4,0,1,3,0,na1,2
210,1,0,0,2,0,na1,5
211,0,0,0,0,1,na1,5
212,6,0,0,4,2,na1,4
213,1,0,1,0,0,na1,5
214,0,0,0,0,0,na1,5
215,5,0,0,2,2,na1,4
216,7,1,0,3,2,na1,4
217,1,0,0,0,0,na1,5
218,5,0,1,2,1,na1,4
219,10,4,3,5,1,na1,1
220,7,0,0,4,1,na1,4
221,3,0,1,2,1,na1,2
222,7,1,1,3,1,na1,4
223,4,0,0,1,1,na1,0
224,0,0,0,0,0,na1,5
225,4,0,0,2,1,na1,2
226,3,0,0,0,2,na1,0
227,3,1,0,0,0,na1,0
228,6,0,0,0,0,na1,4
229,9,1,1,4,2,na1,1
230,9,3,1,3,1,na1,1
231,3,0,1,1,1,na1,0
232,9,2,1,1,2,na1,3
233,1,0,0,3,0,na1,2
234,0,0,0,0,0,na1,5
235,2,0,0,2,1,na1,2
236,8,2,1,2,2,na1,3
237,1,0,0,1,0,na1,5
238,3,0,0,1,2,na1,0
239,10,2,1,2,0,na1,3
240,10,2,1,3,2,na1,3
241,3,0,0,1,0,na1,0
242,4,1,0,1,1,na1,0
243,9,3,1,3,1,na1,1
244,11,2,1,4,2,na1,1
245,0,0,0,0,0,na1,5
246,7,0,0,4,1,na1,4
247,3,0,1,2,1,na1,2
248,8,1,1,4,0,na1,1
249,3,0,0,1,1,na1,0
250,10,2,0,1,2,na1,3
251,8,1,2,4,0,na1,1
252,6,0,0,1,1,na1,4
253,0,0,0,1,0,na1,5
254,1,0,0,0,0,na1,5
255,8,2,1,3,1,na1,1
256,2,0,0,2,0,na1,2
257,8,1,1,2,1,na1,3
258,10,2,2,4,0,na1,1
259,4,0,0,2,2,na1,2
260,11,3,0,2,2,na1,3
261,2,0,0,2,0,na1,2
262,8,1,1,2,1,na1,3
263,3,0,0,3,1,na1,2
264,8,1,0,4,0,na1,1
265,2,0,1,0,1,na1,0
266,4,0,0,0,1,na1,0
267,10,2,1,4,1,na1,1
268,0,0,0,0,0,na1,5
269,0,0,0,0,0,na1,5
270,0,0,0,0,0,na1,5
271,7,1,1,3,2,na1,4
272,8,1,1,2,0,na1,3
273,3,0,0,2,2,na1,2
274,2,0,0,1,1,na1,0
275,9,1,2,3,0,na1,1
276,7,1,1,3,1,na1,4
277,2,0,0,1,1,na1,0
278,3,0,0,0,1,na1,0
279,11,3,1,4,0,na1,1
280,1,0,0,0,0,na1,5
281,4,2,0,0,0,na1,0
282,7,1,1,3,1,na1,4
283,4,0,0,1,1,na1,0
284,0,0,0,0,0,na1,5
285,7,1,0,3,2,na1,4
286,1,0,0,0,0,na1,5
287,8,2,1,3,1,na1,1
288,11,3,1,4,1,na1,1
289,2,0,1,1,0,na1,0
290,3,0,0,0,1,na1,0
291,8,1,1,3,0,na1,1
292,1,0,0,0,0,na1,5
293,4,3,0,0,0,na1,0
294,3,0,0,0,1,na1,0
295,5,0,1,3,1,na1,4
296,0,0,0,2,0,na1,5
297,7,2,1,1,2,na1,4
298,5,0,0,2,2,na1,4
299,9,2,3,4,0,na1,1
300,2,0,0,0,1,na1,0
301,9,1,0,2,1,na1,3
302,2,0,0,0,0,na1,0
303,5,0,0,3,2,na1,4
304,6,0,0,0,0,na1,4
305,9,1,1,4,2,na1,1
306,4,0,0,4,1,na1,2
307,2,0,0,0,0,na1,0
308,10,2,0,4,2,na1,1
309,0,0,1,0,0,na1,5
310,3,0,0,0,1,na1,0
311,5,0,1,3,1,na1,4
312,2,0,0,0,0,na1,0
313,5,1,0,1,1,na1,4
314,2,0,0,0,2,na1,0
315,9,2,1,3,0,na1,1
316,9,1,0,3,2,na1,1
317,1,0,0,1,0,na1,5
318,0,0,0,0,0,na1,5
319,5,1,0,2,1,na1,4
320,4,0,0,2,1,na1,2
321,3,0,0,1,1,na1,0
322,6,0,0,1,1,na1,4
323,0,0,0,1,0,na1,5
324,1,0,0,0,0,na1,5
325,8,2,1,3,1,na1,1
326,6,1,0,2,1,na1,4
327,0,0,0,0,0,na1,5
328,0,0,0,2,0,na1,5
329,7,1,1,1,2,na1,4
330,1,0,0,1,0,na1,5
331,10,1,0,2,2,na1,3
332,7,2,1,4,0,na1,1
333,2,0,0,0,1,na1,0
334,0,0,0,1,0,na1,5
335,5,0,0,1,1,na1,4
336,1,0,0,1,2,na1,5
337,9,2,1,3,0,na1,1
338,9,2,1,3,0,na1,1
339,5,0,1,2,2,na1,4
340,0,0,0,0,0,na1,5
341,6,1,0,2,1,na1,4
342,8,1,1,3,1,na1,1
343,1,0,0,0,0,na1,5
344,0,0,0,0,0,na1,5
345,4,0,0,2,1,na1,2
346,9,1,0,2,2,na1,3
347,3,0,0,2,0,na1,2
348,0,0,0,0,0,na1,5
349,1,0,0,2,0,na1,5
350,7,2,0,4,0,na1,1
351,2,0,1,0,0,na1,0
352,0,0,0,0,0,na1,5
353,5,0,0,2,1,na1,4
354,9,2,2,4,2,na1,1
355,4,0,0,1,0,na1,0
356,0,0,0,0,0,na1,5
357,7,1,0,4,1,na1,4
358,10,2,0,1,0,na1,3
359,0,0,0,0,0,na1,5
360,9,1,0,2,2,na1,3
361,3,0,0,2,0,na1,2
362,0,0,0,0,0,na1,5
363,1,0,0,2,0,na1,5
364,7,2,0,4,0,na1,1
365,2,0,1,0,0,na1,0
366,8,2,1,2,2,na1,3
367,1,0,0,2,0,na1,5
368,10,2,1,1,1,na1,3
369,0,0,0,2,1,na1,5
370,10,1,0,5,1,na1,1
371,5,0,1,0,0,na1,0
372,3,0,0,2,1,na1,2
373,1,0,0,0,1,na1,5
374,2,0,0,1,0,na1,0
375,11,2,1,2,2,na1,3
376,0,0,0,1,0,na1,5
377,9,3,1,2,2,na1,3
378,11,2,0,3,2,na1,3
379,0,0,0,0,0,na1,5
380,3,1,0,0,0,na1,0
381,0,0,0,0,0,na1,5
382,4,0,0,1,0,na1,0
383,6,1,1,3,1,na1,4
384,0,0,0,2,1,na1,5
385,2,0,0,1,1,na1,0
386,1,0,0,0,1,na1,5
387,6,0,0,2,1,na1,4
388,2,0,0,0,0,na1,0
389,4,0,0,2,1,na1,2
390,5,0,0,2,2,na1,4
391,1,0,0,0,0,na1,5
392,2,0,0,0,1,na1,0
393,4,0,1,3,0,na1,2
394,3,0,0,1,0,na1,0
395,0,0,0,0,0,na1,5
396,0,0,0,0,0,na1,5
397,1,0,0,2,0,na1,5
398,0,0,0,0,0,na1,5
399,3,1,0,0,1,na1,0
400,2,0,0,2,0,na1,2
401,11,2,1,1,2,na1,3
402,6,1,1,3,2,na1,4
403,1,0,0,1,0,na1,5
404,11,3,1,3,1,na1,3
405,1,0,0,1,1,na1,5
406,9,2,2,3,1,na1,1
407,4,0,0,2,1,na1,2
408,5,0,0,1,0,na1,4
409,3,0,1,2,1,na1,2
410,3,0,0,3,1,na1,2
411,9,3,1,1,1,na1,3
412,8,1,0,4,1,na1,1
413,0,0,0,0,0,na1,5
414,6,1,0,2,1,na1,4
415,2,0,0,1,1,na1,0
416,7,2,1,4,0,na1,1
417,2,0,0,0,1,na1,0
418,2,0,0,0,1,na1,0
419,8,2,1,3,1,na1,1
420,5,0,0,1,0,na1,4
421,9,1,2,3,1,na1,1
422,6,0,0,2,1,na1,4
423,9,3,2,4,1,na1,1
424,4,0,0,1,2,na1,0
425,9,1,1,4,0,na1,1
426,2,0,0,0,0,na1,0
427,4,0,0,2,1,na1,2
428,4,3,0,0,0,na1,0
429,2,3,0,0,0,na1,0
430,3,0,0,1,0,na1,0
431,0,0,0,0,0,na1,5
432,1,0,0,0,1,na1,5
433,6,1,1,4,1,na1,4
434,4,0,0,2,1,na1,2
435,11,3,2,4,1,na1,1
436,9,1,0,3,1,na1,1
437,1,0,0,0,0,na1,5
438,0,0,0,2,0,na1,5
439,8,1,1,1,0,na1,3
440,10,2,1,5,2,na1,1
441,1,0,0,0,0,na1,5
442,3,0,0,3,1,na1,2
443,8,1,1,0,1,na1,3
444,3,0,0,3,0,na1,2
445,3,0,0,2,1,na1,2
446,3,0,0,0,1,na1,0
447,4,0,0,4,1,na1,2
448,8,1,1,1,1,na1,3
449,7,2,1,4,0,na1,1
450,4,1,0,1,1,na1,0
451,9,3,1,3,1,na1,1
452,9,2,1,2,2,na1,3
453,2,0,0,2,0,na1,2
454,11,2,1,4,2,na1,1
455,0,0,0,0,0,na1,5
456,5,0,1,1,1,na1,4
457,7,1,0,4,0,na1,4
458,0,0,0,0,0,na1,5
459,4,0,0,1,1,na1,0
460,3,1,0,0,0,na1,0
461,0,0,0,0,0,na1,5
462,1,0,0,0,0,na1,5
463,4,3,0,0,0,na1,0
464,10,2,0,2,2,na1,3
465,2,0,0,1,0,na1,0
466,9,1,0,3,1,na1,1
467,1,0,0,0,1,na1,5
468,1,0,0,2,0,na1,5
469,1,0,0,0,1,na1,5
470,8,2,1,2,2,na1,3
471,1,0,0,2,0,na1,5
472,10,2,1,1,1,na1,3
473,0,0,0,2,1,na1,5
474,0,0,0,0,0,na1,5
475,3,1,0,0,1,na1,0
476,9,1,1,2,2,na1,3
477,0,0,0,1,0,na1,5
478,1,0,0,0,1,na1,5
479,10,1,1,4,1,na1,1
480,0,0,0,0,0,na1,5
481,5,0,0,2,1,na1,4
482,9,2,2,4,2,na1,1
483,4,0,0,1,0,na1,0
484,0,0,0,0,0,na1,5
485,7,1,0,4,1,na1,4
486,10,2,0,1,0,na1,3
487,0,0,0,0,0,na1,5
488,1,0,0,0,0,na1,5
489,3,1,0,0,1,na1,0
490,2,1,0,0,0,na1,0
491,4,2,0,0,0,na1,0
492,1,0,0,0,0,na1,5
493,4,2,0,0,0,na1,0
494,4,1,0,0,0,na1,0
495,0,0,0,0,0,na1,5
496,2,0,0,1,2,na1,0
497,7,1,1,2,0,na1,4
498,11,7,1,2,2,na1,3
499,3,0,2,4,0,na1,2
500,9,2,1,4,1,na1,1
501,1,0,0,1,0,na1,5
502,5,0,1,1,1,na1,4
503,7,1,0,4,0,na1,4
504,0,0,0,0,0,na1,5
505,4,0,0,1,1,na1,0
506,4,1,0,0,0,na1,0
507,0,0,0,0,0,na1,5
508,0,0,0,0,0,na1,5
509,9,2,0,2,1,na1,3
510,8,1,1,2,2,na1,3
511,0,0,0,0,0,na1,5
512,0,0,0,0,0,na1,5
513,3,1,0,0,0,na1,0
514,1,0,0,0,0,na1,5
515,3,1,0,0,1,na1,0
516,3,0,1,2,1,na1,2
517,10,1,1,3,1,na1,1
518,2,0,0,0,0,na1,0
519,3,1,0,0,1,na1,0
520,0,0,0,0,0,na1,5
521,6,0,0,3,1,na1,4
522,3,0,0,0,1,na1,0
523,4,0,0,4,1,na1,2
524,5,1,0,2,1,na1,4
525,0,0,0,0,0,na1,5
526,10,2,1,3,2,na1,3
527,3,0,0,1,0,na1,0
528,8,1,1,3,1,na1,1
529,1,0,0,0,0,na1,5
530,9,2,1,2,2,na1,3
531,2,0,0,2,0,na1,2
532,5,0,1,2,0,na1,4
533,2,0,0,2,2,na1,2
534,6,1,0,2,2,na1,4
535,1,0,0,1,0,na1,5
536,11,3,1,3,2,na1,3
537,1,0,0,0,0,na1,5
538,3,0,0,1,1,na1,0
539,10,4,2,4,1,na1,1
540,0,0,0,0,0,na1,5
541,6,1,0,2,1,na1,4
542,8,1,1,3,1,na1,1
543,1,0,0,0,0,na1,5
544,0,0,0,0,0,na1,5
545,4,0,0,2,1,na1,2
546,3,0,0,0,1,na1,0
547,8,1,1,3,0,na1,1
548,8,1,1,2,2,na1,3
549,7,1,1,3,0,na1,4
550,6,1,0,2,2,na1,4
551,1,0,0,1,0,na1,5
552,9,1,0,3,2,na1,1
553,1,0,0,1,0,na1,5
554,2,0,0,1,1,na1,0
555,9,1,2,3,0,na1,1
556,6,0,1,2,2,na1,4
557,0,0,0,1,0,na1,5
558,3,0,0,0,1,na1,0
559,11,3,1,4,0,na1,1
560,4,2,0,0,0,na1,0
561,4,1,0,0,0,na1,0
562,2,0,0,0,0,na1,0
563,4,2,0,0,0,na1,0
564,2,0,0,0,0,na1,0
565,4,1,0,0,0,na1,0
566,4,2,0,0,0,na1,0
567,1,0,0,0,0,na1,5
568,4,1,0,0,0,na1,0
569,2,0,0,0,0,na1,0
570,0,0,0,0,0,na1,5
571,8,0,1,4,1,na1,1
572,4,0,0,0,1,na1,0
573,10,2,1,4,1,na1,1
574,3,0,0,2,1,na1,2
575,0,0,0,0,0,na1,5
576,0,0,0,1,1,na1,5
577,4,0,0,2,1,na1,2
578,9,1,0,2,2,na1,3
579,1,0,0,0,0,na1,5
580,4,0,0,2,1,na1,2
581,3,0,0,1,1,na1,0
582,3,0,0,2,1,na1,2
583,7,1,1,2,0,na1,4
584,9,1,0,2,1,na1,3
585,3,0,1,3,0,na1,2
586,10,2,0,1,0,na1,3
587,0,0,0,0,0,na1,5
588,8,1,1,2,1,na1,3
589,3,0,0,3,1,na1,2
590,8,1,0,4,0,na1,1
591,2,0,1,0,1,na1,0
592,0,0,0,1,0,na1,5
593,3,0,0,1,1,na1,0
594,10,1,0,5,1,na1,1
595,5,0,1,0,0,na1,0
596,11,3,1,3,1,na1,3
597,3,0,0,1,0,na1,0
598,9,2,1,1,0,na1,3
599,3,0,0,3,2,na1,2
600,6,1,0,1,1,na1,4
601,0,0,0,0,0,na1,5
602,0,0,0,0,0,na1,5
603,8,1,0,2,2,na1,3
604,4,0,0,0,2,na1,0
605,7,0,1,3,0,na1,4
606,5,0,0,3,0,na1,4
607,10,3,2,2,2,na1,3
608,5,0,0,1,1,na1,4
609,3,0,0,2,0,na1,2
610,0,0,0,0,0,na1,5
611,7,1,0,2,2,na1,4
612,5,0,1,2,1,na1,4
613,2,0,0,1,1,na1,0
614,9,1,0,1,2,na1,3
615,0,0,0,1,0,na1,5
616,9,1,0,2,1,na1,3
617,0,0,0,0,1,na1,5
618,1,0,0,0,0,na1,5
619,2,0,0,2,1,na1,2
620,10,4,2,4,2,na1,1
621,0,0,0,1,0,na1,5
622,11,4,1,3,2,na1,3
623,0,0,0,1,0,na1,5
624,4,0,0,1,1,na1,0
625,0,0,0,1,0,na1,5
626,0,0,0,0,0,na1,5
627,8,1,0,3,1,na1,1
628,11,2,1,4,2,na1,1
629,0,0,0,0,0,na1,5
630,9,1,0,1,2,na1,3
631,1,0,0,0,0,na1,5
632,1,0,0,1,1,na1,5
633,9,1,0,2,1,na1,3
634,7,1,0,4,0,na1,4
635,8,1,2,1,2,na1,3
636,5,0,0,0,0,na1,0
637,7,1,1,4,0,na1,1
638,10,2,1,2,1,na1,3
639,4,0,0,2,1,na1,2
640,10,2,0,1,2,na1,3
641,8,1,2,4,0,na1,1
642,2,0,0,0,0,na1,0
643,5,0,0,3,2,na1,4
644,2,0,0,1,1,na1,0
645,0,0,0,1,0,na1,5
646,9,2,1,1,2,na1,3
647,2,0,0,2,0,na1,2
648,0,0,0,0,0,na1,5
649,5,0,0,2,1,na1,4
650,3,0,0,1,1,na1,0
651,10,2,1,4,0,na1,1
652,9,2,1,1,2,na1,3
653,1,0,0,3,0,na1,2
654,8,1,1,4,1,na1,1
655,8,1,2,2,1,na1,3
656,3,0,0,1,2,na1,0
657,10,2,1,2,0,na1,3
658,0,0,0,2,0,na1,5
659,7,2,1,1,2,na1,4
660,1,0,0,1,1,na1,5
661,7,2,1,2,1,na1,4
662,3,0,0,1,0,na1,0
663,10,3,2,3,2,na1,3
664,0,0,0,0,0,na1,5
665,5,0,0,2,1,na1,4
666,4,0,1,2,1,na1,2
667,0,0,0,1,0,na1,5
668,3,0,0,0,1,na1,0
669,5,0,1,3,1,na1,4
670,2,0,0,0,0,na1,0
671,5,1,0,1,1,na1,4
672,0,0,0,0,0,na1,5
673,6,1,0,0,1,na1,4
674,10,2,2,2,0,na1,3
675,2,0,0,2,1,na1,2
676,1,0,0,0,0,na1,5
677,5,0,1,4,1,na1,4
678,9,2,2,3,0,na1,1
679,6,0,0,2,1,na1,4
680,5,0,1,1,1,na1,4
681,7,1,0,4,0,na1,4
682,2,0,0,0,0,na1,0
683,9,1,0,4,2,na1,1
684,0,0,0,0,0,na1,5
685,7,1,0,3,2,na1,4
686,4,0,0,2,1,na1,2
687,3,0,0,1,1,na1,0
688,3,0,0,0,1,na1,0
689,5,0,1,3,1,na1,4
690,3,0,0,2,1,na1,2
691,7,1,1,2,0,na1,4
692,11,4,2,4,1,na1,1
693,5,0,1,0,0,na1,0
694,7,1,0,3,1,na1,4
695,1,0,0,0,0,na1,5
696,9,1,1,1,1,na1,3
697,4,0,0,3,0,na1,2
698,0,0,0,2,1,na1,5
699,9,1,0,0,1,na1,3
700,10,4,2,4,2,na1,1
701,0,0,0,1,0,na1,5
702,2,0,0,0,1,na1,0
703,9,1,0,2,1,na1,3
704,9,2,0,3,1,na1,1
705,1,0,0,0,0,na1,5
706,1,0,0,0,0,na1,5
707,8,2,1,3,1,na1,1
708,1,0,0,0,2,na1,5
709,11,2,1,4,0,na1,1
710,10,2,1,3,1,na1,3
711,3,0,0,0,0,na1,0
712,7,1,0,2,0,na1,4
713,6,0,1,2,2,na1,4
714,7,1,0,1,1,na1,4
715,5,0,1,4,0,na1,4
716,5,0,1,3,2,na1,4
717,0,0,0,0,0,na1,5
718,6,1,1,3,1,na1,4
719,3,0,0,1,0,na1,0
720,9,1,0,2,2,na1,3
721,1,0,0,0,0,na1,5
722,0,0,0,0,0,na1,5
723,7,1,0,2,2,na1,4
724,8,1,1,1,0,na1,3
725,4,0,1,4,2,na1,2
726,9,2,1,2,1,na1,3
727,1,0,0,2,1,na1,5
728,10,1,1,3,2,na1,3
729,3,0,0,0,0,na1,0
730,6,1,0,3,2,na1,4
731,2,0,0,0,0,na1,0
732,2,0,0,1,1,na1,0
733,9,2,1,4,1,na1,1
734,1,0,0,0,1,na1,5
735,5,0,0,2,1,na1,4
736,1,0,0,2,0,na1,5
737,4,0,1,1,2,na1,0
738,5,0,0,3,0,na1,4
739,10,2,1,1,2,na1,3
740,0,0,0,0,0,na1,5
741,6,1,0,2,1,na1,4
742,8,1,1,3,1,na1,1
743,1,0,0,0,0,na1,5
744,0,0,0,0,0,na1,5
745,4,0,0,2,1,na1,2
746,9,1,0,2,2,na1,3
747,3,0,0,2,0,na1,2
748,5,0,1,1,1,na1,4
749,7,1,0,4,0,na1,4
750,8,1,1,4,0,na1,1
751,3,0,0,1,1,na1,0
752,6,0,0,1,1,na1,4
753,0,0,0,1,0,na1,5
754,1,0,0,0,0,na1,5
755,8,2,1,3,1,na1,1
756,9,2,1,1,1,na1,3
757,2,0,0,2,0,na1,2
758,10,2,2,4,0,na1,1
759,4,0,0,2,2,na1,2
760,3,0,0,1,0,na1,0
761,10,3,2,3,2,na1,3
762,0,0,0,0,0,na1,5
763,5,0,0,2,1,na1,4
764,4,0,1,2,1,na1,2
765,0,0,0,1,0,na1,5
766,4,3,0,0,0,na1,0
767,4,2,0,0,0,na1,0
768,9,2,2,3,0,na1,1
769,6,0,0,2,1,na1,4
770,4,2,0,0,0,na1,0
771,0,0,0,0,0,na1,5
772,6,0,0,2,1,na1,4
773,0,0,0,0,0,na1,5
774,9,2,0,3,2,na1,3
775,1,0,0,0,0,na1,5
776,9,2,0,2,1,na1,3
777,5,0,1,2,1,na1,4
778,9,1,2,1,2,na1,3
779,1,0,0,3,0,na1,2
780,4,4,0,0,0,na1,0
781,2,1,0,0,0,na1,0
782,3,1,0,0,1,na1,0
783,0,0,0,0,0,na1,5
784,9,2,1,4,1,na1,1
785,1,0,0,1,0,na1,5
786,0,0,0,0,0,na1,5
787,4,0,0,1,1,na1,0
788,0,0,0,1,1,na1,5
789,3,0,0,1,0,na1,0
790,0,0,0,1,1,na1,5
791,6,1,0,1,0,na1,4
792,0,0,0,0,0,na1,5
793,8,1,0,1,1,na1,3
794,0,0,0,0,0,na1,5
795,7,1,0,1,1,na1,4
796,7,2,0,3,2,na1,4
797,0,0,0,0,0,na1,5
798,3,0,1,3,1,na1,2
799,11,4,2,4,0,na1,1
800,1,0,0,1,0,na1,5
801,10,2,2,3,2,na1,3
802,4,1,0,1,1,na1,0
803,9,3,1,3,1,na1,1
804,3,0,0,2,1,na1,2
805,6,0,0,1,0,na1,4
806,9,2,1,2,2,na1,3
807,2,0,0,2,0,na1,2
808,4,0,0,2,2,na1,2
809,11,3,2,2,0,na1,3
810,7,0,0,4,1,na1,4
811,3,0,1,2,1,na1,2
812,2,0,0,0,0,na1,0
813,9,1,0,4,2,na1,1
814,0,0,0,0,0,na1,5
815,7,1,0,3,2,na1,4
816,9,2,1,1,2,na1,3
817,2,0,0,2,0,na1,2
